beer_name,count,mean,beer_abv
Carnie Fire,10,4.529999999999999,5.0
Southampton Berliner Weisse,41,4.512926829268293,2.0
Apollo Single Hop IPA,10,4.5,5.2
Citra-delic Summer Wheat,11,4.4763636363636365,5.0
Fresh Hop 2006,13,4.426923076923076,4.6
Tartare,11,4.377272727272727,4.0
Great Lakes Wolfhound Stout,44,4.349545454545452,4.8
Edward Pale Ale,113,4.344336283185841,5.2
Black Snow Coffee Porter,14,4.337142857142857,5.0
Solstice Pale Ale,15,4.305999999999999,5.2
Blue Point Extra Special Bitter,35,4.273999999999999,5.0
Amarillo Amber,13,4.269230769230768,5.2
Simcoe,11,4.253636363636364,5.2
Southampton Abbey Single,19,4.241578947368422,4.5
Southampton Pale Ale,12,4.234999999999999,5.2
Amarillo Single Hop Pale Ale,30,4.231,5.0
32/50,91,4.221208791208792,4.8
Unfiltered Double Barrel Ale,64,4.216875,5.0
English Malt Porter,12,4.206666666666666,5.2
Briscoe,12,4.2,5.0
Coffee Bender,1254,4.163062200956943,5.1
Founders Frangelic Stout,40,4.158500000000002,4.2
Wee Geech,10,4.155,4.0
Brooklyn Sustainable Porter,23,4.1513043478260885,5.2
Ichabod Ale 2009,57,4.150526315789476,5.0
